Term name	P-D Coefficient
vitamin binding	0.591
cobalt ion binding	0.560
ferrous iron binding	0.555
metallochaperone activity	0.540
core RNA polymerase binding transcription factor activity	0.539
ferric iron binding	0.539
translation repressor activity	0.537
alkene binding	0.536
ethylene binding	0.536
core DNA-dependent RNA polymerase binding promoter specificity activity	0.529
tyrosine binding	0.529
sigma factor activity	0.528
sulfur compound binding	0.528
hormone binding	0.526
flavonoid binding	0.524
plastid sigma factor activity	0.523
copper ion binding	0.521
receptor inhibitor activity	0.520
cAMP response element binding protein binding	0.517
lipopolysaccharide binding	0.516
calcium ion binding	0.515
ribosomal small subunit binding	0.513
camalexin binding	0.513
carbohydrate derivative binding	0.513
protein-lipid complex binding	0.512
lipoprotein particle binding	0.512
chemorepellent activity	0.512
carbohydrate binding	0.510
peptidoglycan binding	0.509
low-density lipoprotein particle binding	0.507
manganese ion binding	0.506
divalent inorganic cation transmembrane transporter activity	0.506
poly-ADP-D-ribose binding	0.504
growth factor activity	0.504
calcium activated cation channel activity	0.504
beta-amyloid binding	0.502
calmodulin binding	0.502
SNAP receptor activity	0.501
fructose-6-phosphate binding	0.501
virus receptor activity	0.500
chlorophyll binding	0.500
water transmembrane transporter activity	0.499
calcium ion transmembrane transporter activity	0.497
iron chaperone activity	0.497
active transmembrane transporter activity	0.496
metal ion transmembrane transporter activity	0.496
antigen binding	0.495
glycosaminoglycan binding	0.495
cobalamin binding	0.494
translation regulator activity	0.494
collagen binding	0.493
carbohydrate derivative transporter activity	0.492
proteoglycan binding	0.491
translation initiation factor binding	0.491
intracellular ligand-gated ion channel activity	0.491
cyclin-dependent protein serine/threonine kinase regulator activity	0.490
cyclin binding	0.489
ligand-gated channel activity	0.489
carbohydrate transporter activity	0.489
muramyl dipeptide binding	0.488
low-density lipoprotein receptor activity	0.488
thyroid hormone binding	0.488
drug transporter activity	0.487
sodium channel inhibitor activity	0.487
cation channel activity	0.485
Wnt-protein binding	0.485
lipoprotein particle receptor activity	0.485
cyclase activity	0.484
nucleobase-containing compound transmembrane transporter activity	0.484
xenobiotic transporter activity	0.484
gated channel activity	0.483
azole transporter activity	0.483
substrate-specific channel activity	0.483
lyase activity	0.483
peptide hormone binding	0.482
water channel activity	0.480
calcium channel activity	0.480
cyclic nucleotide binding	0.480
PDZ domain binding	0.480
ligand-gated ion channel activity	0.479
eukaryotic initiation factor 4E binding	0.478
inorganic cation transmembrane transporter activity	0.477
protein phosphatase 1 binding	0.477
calcium-release channel activity	0.477
potassium ion transmembrane transporter activity	0.477
extracellular matrix structural constituent	0.477
iron ion binding	0.476
protein self-association	0.476
GTPase activating protein binding	0.475
ligase regulator activity	0.475
ion gated channel activity	0.474
NAADP-sensitive calcium-release channel activity	0.474
ubiquitin-protein ligase regulator activity	0.474
integrin binding	0.473
azole transmembrane transporter activity	0.472
cytoskeletal regulatory protein binding	0.472
nodal binding	0.471
ligase activity, forming phosphoric ester bonds	0.471
carbohydrate transmembrane transporter activity	0.471
actin monomer binding	0.470
secondary active transmembrane transporter activity	0.470
passive transmembrane transporter activity	0.470
channel activity	0.470
peptide antigen binding	0.469
clathrin binding	0.469
guanyl nucleotide binding	0.468
quaternary ammonium group binding	0.468
inhibin binding	0.468
calcium-activated potassium channel activity	0.468
ion channel activity	0.467
farnesylated protein binding	0.467
lipase inhibitor activity	0.467
sugar transmembrane transporter activity	0.467
dystroglycan binding	0.466
drug transmembrane transporter activity	0.466
DNA polymerase processivity factor activity	0.466
guanyl ribonucleotide binding	0.466
translation termination factor activity	0.465
transition metal ion transmembrane transporter activity	0.465
Mo-molybdopterin cofactor sulfurase activity	0.465
transposase activity	0.464
oligopeptide transporter activity	0.464
translation release factor activity	0.464
carbon-oxygen lyase activity, acting on phosphates	0.464
actinin binding	0.464
heparin binding	0.464
alcohol binding	0.464
rRNA binding	0.463
glycogen debranching enzyme activity	0.463
carboxylic ester hydrolase activity	0.463
AP-2 adaptor complex binding	0.462
phospholipase inhibitor activity	0.462
ATP-dependent 3'-5' DNA helicase activity	0.462
potassium channel activity	0.461
carbohydrate response element binding	0.461
kinetochore binding	0.461
anion transmembrane transporter activity	0.461
inositol 1,3,4,5 tetrakisphosphate binding	0.460
monocarboxylic acid binding	0.460
endopeptidase regulator activity	0.459
high-density lipoprotein particle receptor activity	0.458
translation regulator activity, nucleic acid binding	0.458
DNA-(apurinic or apyrimidinic site) lyase activity	0.457
intermediate filament binding	0.457
cofactor binding	0.457
FMN binding	0.457
telomeric DNA binding	0.456
mRNA 3'-UTR AU-rich region binding	0.456
potassium channel regulator activity	0.456
serine hydrolase activity	0.455
RNA ligase activity	0.455
histone demethylase activity (H3-K9 specific)	0.455
ARF GTPase activator activity	0.455
muscle alpha-actinin binding	0.455
glucoside transmembrane transporter activity	0.454
double-stranded telomeric DNA binding	0.454
CARD domain binding	0.453
translation activator activity	0.453
cation transmembrane transporter activity	0.453
natural killer cell lectin-like receptor binding	0.453
actin filament binding	0.453
alpha-actinin binding	0.452
dipeptide transporter activity	0.452
microtubule binding	0.452
oligopeptide binding	0.452
carbon-carbon lyase activity	0.452
vitamin transporter activity	0.452
substrate-specific transporter activity	0.452
acetylcholine receptor binding	0.451
ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity	0.451
ligase inhibitor activity	0.451
primary active transmembrane transporter activity	0.451
estrogen response element binding	0.451
peptidase inhibitor activity	0.451
quercitrin binding	0.451
P-P-bond-hydrolysis-driven transmembrane transporter activity	0.450
low-density lipoprotein particle receptor binding	0.450
sterol transporter activity	0.450
ion transmembrane transporter activity	0.450
interleukin-22 binding	0.450
satellite DNA binding	0.450
double-stranded RNA binding	0.450
MHC protein binding	0.450
chaperone binding	0.449
sulfurtransferase activity	0.449
ammonia transmembrane transporter activity	0.449
RNA ligase (ATP) activity	0.449
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	0.449
quinone binding	0.449
phosphorus-oxygen lyase activity	0.448
